title,current_price,former_price,discount
"DELL Latitude 3380 Intel Core I3  8GB RAM, 256GB SSD, Windows 11 + Keyboard Flash Light",499000,800000,84%
"Hp Pavilion 14 X360 11th Gen Intel Core™ I7,1TB SSD, 16GB RAM, Backlit Keyboard,14""Touchscreen Wins 11",1302000,580000,17%
"Hp 15 VICTUS GAMING, INTEL CORE I5, 8GB RAM, 512GB SSD,4GB NVIDIA GTX 1650 WINS 11",1039900,900000,44%
"Asus VIVOBOOK 14 12TH GEN INTEL CORE I3 8GB RAM 512GB SSD BACKLIT KEYBOARD 14"" FHD WINS 11",565000,880000,49%
Hp Stream 14 Intel Celeron D/C  64GB HDD- 4GB RAM WIN 10+ Flash,165000,400000,8%
DELL Latitude 3190 INTEL CELERON 128GB SSD 4GB WIN 10 Pro+pouch,139500,300000,20%
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,240000,2312,50%
DELL INSPIRON 16' 7620 12TH GEN CI7 1TB SSD 40GB RAM BACKLIT W11,1219800,905000,44%
Lenovo IDEAPAD 1 15IGL7 INTEL® CELERON® N4020,192150,250000,20%
"Hp Envy 15 X360 11th Gen, Intel Core I7 (16GB RAM,1TB SSD) - Backlit Keboard -Wins 11",1320000,5800000,8%
Hp ProBook 11 X360 TOUCH INTEL CORE I5 512GB SSD- 8GB RAM+BAG,440000,800000,39%
Hp EliteBook 840 G5 TOUCHSCREEN Core I5-8GB RAM/256GB SSD/Backlit Keyboard/FP Reader Window 11 Pro+BAG,455000,500000,47%
"Asus X515EA Intel Core I7-1165G7 15.6"" 8GB RAM/256GB SSD Win 11 + Free 1TB External Hard Drive",739990,398000,25%
"DELL Latitude 3190 2in1 X360 INTEL PENTIUM, Touchscreen 512GB SSD 8GB WIN 11 Pro",295000,800000,37%
"DELL Latitude 3190 2in1 Touchscreen Intel Pentium 128GB SSD, 8GB RAM Wins 10 + Flash Light",205000,300000,27%
DELL Latitude 7490 TOUCHSCREEN- Intel Core I5- 512GB SSD/16GB RAM -BACKLIGHT KEYBOARD WIN 11PRO+BAG,450000,7000,89%
"DELL Latitude 5490 Intel Core I5- 8GB Ram, 256GB SSD Win 10",390000,165900,22%
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 4GB RAM WIN10 Pro +USB LIGHT FOR KEYBOARD,185000,2390000,6%
Hp ProBook11X360-TOUCHSCREEN Intel Pentium 256GB SSD-4GB+pouch,198000,400000,40%
Hp Probook 450 G7 Intel Core I3-8GB RAM/256GB SSD Fingerprint  Wins 11 Pro +BAG,480000,405000,24%
"DELL LATITUDE 3190 2in1 X360 INTEL PENTIUM,TOUCHSCREEN 4GB RAM,128GB SSD WIN 11 + Light",195000,29870,30%
Msi Stealth 14 Studio A13VF-041US Rtx 4060 1tb 16gb,1895000,250000,22%
Hp Elitebook 830 G7 Touch Screen Intel Core I7 512SSD/16GB RAM Win 11 Pro,700000,250000,20%
"Hp Stream 11-ah117wm 11.6"", Intel Celeron4, 4GB RAM, 32GB EMMC, Windows 10 Home With 32GB Flash Drive",125000,300000,18%
Hp Stream 11 Intel Celeron 4GB RAM- 64GB HDD WIN 10+ USB LIGHT FOR KEYBOARD,130000,3344,50%
Hp EliteBook 840 G6 Intel Core I5- 32GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,545000,2900000,24%
Hp ProBook 11 X360- TOUCHSCREN-  Intel Pentium 128GB HDD 8GB RAM WIN10 Pro + Free Mouse,190000,350900,20%
Hp Stream 11 Intel Celeron D/C 4GB RAM- 64GB HDD WIN 10,130000,399000,22%
